"service_id","date","exception_type"
1,20191026,1
1,20191109,1
2,20191030,1
7,20191028,2
8,20191028,1
9,20191111,2
10,20191111,1
12,20191107,2
13,20191021,2
13,20191028,2
13,20191104,2
13,20191111,2
13,20191022,2
13,20191029,2
13,20191105,2
13,20191016,2
13,20191023,2
13,20191030,2
13,20191106,2
13,20191017,2
13,20191024,2
13,20191031,2
13,20191107,2
13,20191018,2
13,20191025,2
13,20191101,2
13,20191108,2
14,20191021,1
14,20191028,1
14,20191104,1
14,20191022,1
14,20191029,1
14,20191105,1
14,20191016,1
14,20191023,1
14,20191030,1
14,20191106,1
14,20191017,1
14,20191024,1
14,20191031,1
14,20191107,1
14,20191018,1
14,20191025,1
14,20191101,1
14,20191108,1
15,20191018,2
15,20191025,2
15,20191101,2
15,20191108,2
16,20191021,2
16,20191028,2
16,20191104,2
16,20191111,2
16,20191022,2
16,20191029,2
16,20191105,2
16,20191016,2
16,20191023,2
16,20191030,2
16,20191106,2
16,20191017,2
16,20191024,2
16,20191031,2
16,20191107,2
17,20191118,2
17,20191125,2
17,20191202,2
17,20191209,2
17,20191022,1
17,20191029,1
17,20191105,1
17,20191016,1
17,20191023,1
17,20191030,1
17,20191106,1
17,20191017,1
17,20191024,1
17,20191031,1
17,20191107,1
17,20191018,1
17,20191025,1
17,20191101,1
17,20191108,1
18,20191018,1
18,20191025,1
18,20191101,1
18,20191108,1
19,20191118,2
19,20191125,2
19,20191202,2
19,20191209,2
19,20191022,1
19,20191029,1
19,20191105,1
19,20191016,1
19,20191023,1
19,20191030,1
19,20191106,1
19,20191017,1
19,20191024,1
19,20191031,1
19,20191107,1
20,20191020,1
21,20191019,1
22,20191107,1
23,20191019,1
23,20191026,1
23,20191102,1
23,20191109,1
23,20191027,1
23,20191103,1
23,20191110,1
24,20191118,2
24,20191125,2
24,20191202,2
24,20191209,2
24,20191022,1
24,20191029,1
24,20191105,1
24,20191016,1
24,20191023,1
24,20191030,1
24,20191106,1
24,20191017,1
24,20191024,1
24,20191031,1
24,20191107,1
24,20191018,1
24,20191025,1
